A,Kreis,X,Anteil ueber 65-Jaehrigen
1001,Flensburg, kreisfreie Stadt,20
1002,Kiel, kreisfreie Stadt,19
1003,L�beck, kreisfreie Stadt,23
1004,Neum�nster, kreisfreie Stadt,23
1051,Dithmarschen, Landkreis,25
1053,Herzogtum Lauenburg, Landkreis,22
1054,Nordfriesland, Landkreis,24
1055,Ostholstein, Landkreis,28
1056,Pinneberg, Landkreis,22
1057,Pl�n, Landkreis,26
1058,Rendsburg-Eckernf�rde, Landkreis,24
1059,Schleswig-Flensburg, Landkreis,24
1060,Segeberg, Landkreis,22
1061,Steinburg, Landkreis,23
1062,Stormarn, Landkreis,23
2000,Hamburg, kreisfreie Stadt,18
3101,Braunschweig, kreisfreie Stadt,21
3102,Salzgitter, kreisfreie Stadt,23
3103,Wolfsburg, kreisfreie Stadt,22
3151,Gifhorn, Landkreis,20
3153,Goslar, Landkreis,27
3154,Helmstedt, Landkreis,24
3155,Northeim, Landkreis,26
3157,Peine, Landkreis,22
3158,Wolfenb�ttel, Landkreis,24
3159,G�ttingen, Landkreis,23
3241,Region Hannover, Landkreis,21
3251,Diepholz, Landkreis,23
3252,Hameln-Pyrmont, Landkreis,25
3254,Hildesheim, Landkreis,23
3255,Holzminden, Landkreis,27
3256,Nienburg (Weser), Landkreis,23
3257,Schaumburg, Landkreis,25
3351,Celle, Landkreis,24
3352,Cuxhaven, Landkreis,26
3353,Harburg, Landkreis,22
3354,L�chow-Dannenberg, Landkreis,28
3355,L�neburg, Landkreis,20
3356,Osterholz, Landkreis,24
3357,Rotenburg (W�mme), Landkreis,21
3358,Heidekreis, Landkreis,23
3359,Stade, Landkreis,22
3360,Uelzen, Landkreis,26
3361,Verden, Landkreis,23
3401,Delmenhorst, kreisfreie Stadt,22
3402,Emden, kreisfreie Stadt,22
3403,Oldenburg (Oldenburg), kreisfreie Stadt,19
3404,Osnabr�ck, kreisfreie Stadt,19
3405,Wilhelmshaven, kreisfreie Stadt,26
3451,Ammerland, Landkreis,23
3452,Aurich, Landkreis,23
3453,Cloppenburg, Landkreis,17
3454,Emsland, Landkreis,19
3455,Friesland, Landkreis,26
3456,Grafschaft Bentheim, Landkreis,21
3457,Leer, Landkreis,22
3458,Oldenburg, Landkreis,22
3459,Osnabr�ck, Landkreis,21
3460,Vechta, Landkreis,16
3461,Wesermarsch, Landkreis,24
3462,Wittmund, Landkreis,25
4011,Bremen, kreisfreie Stadt,21
4012,Bremerhaven, kreisfreie Stadt,22
5111,D�sseldorf, kreisfreie Stadt,19
5112,Duisburg, kreisfreie Stadt,20
5113,Essen, kreisfreie Stadt,22
5114,Krefeld, kreisfreie Stadt,22
5116,M�nchengladbach, kreisfreie Stadt,21
5117,M�lheim an der Ruhr, kreisfreie Stadt,24
5119,Oberhausen, kreisfreie Stadt,22
5120,Remscheid, kreisfreie Stadt,22
5122,Solingen, kreisfreie Stadt,21
5124,Wuppertal, kreisfreie Stadt,21
5154,Kleve, Landkreis,21
5158,Mettmann, Landkreis,24
5162,Rhein-Kreis Neuss, Landkreis,22
5166,Viersen, Landkreis,22
5170,Wesel, Landkreis,24
5314,Bonn, kreisfreie Stadt,18
5315,K�ln, kreisfreie Stadt,17
5316,Leverkusen, kreisfreie Stadt,22
5334,St�dteregion Aachen, Landkreis,20
5358,D�ren, Landkreis,22
5362,Rhein-Erft-Kreis, Landkreis,22
5366,Euskirchen, Landkreis,22
5370,Heinsberg, Landkreis,21
5374,Oberbergischer Kreis, Landkreis,21
5378,Rheinisch-Bergischer Kreis, Landkreis,23
5382,Rhein-Sieg-Kreis, Landkreis,22
5512,Bottrop, kreisfreie Stadt,23
5513,Gelsenkirchen, kreisfreie Stadt,21
5515,M�nster, kreisfreie Stadt,17
5554,Borken, Landkreis,19
5558,Coesfeld, Landkreis,21
5562,Recklinghausen, Landkreis,23
5566,Steinfurt, Landkreis,20
5570,Warendorf, Landkreis,21
5711,Bielefeld, kreisfreie Stadt,20
5754,G�tersloh, Landkreis,20
5758,Herford, Landkreis,22
5762,H�xter, Landkreis,23
5766,Lippe, Landkreis,23
5770,Minden-L�bbecke, Landkreis,22
5774,Paderborn, Landkreis,18
5911,Bochum, kreisfreie Stadt,22
5913,Dortmund, kreisfreie Stadt,21
5914,Hagen, kreisfreie Stadt,22
5915,Hamm, kreisfreie Stadt,21
5916,Herne, kreisfreie Stadt,22
5954,Ennepe-Ruhr-Kreis, Landkreis,24
5958,Hochsauerlandkreis, Landkreis,22
5962,M�rkischer Kreis, Landkreis,22
5966,Olpe, Landkreis,21
5970,Siegen-Wittgenstein, Landkreis,22
5974,Soest, Landkreis,22
5978,Unna, Landkreis,23
6411,Darmstadt, kreisfreie Stadt,17
6412,Frankfurt am Main, kreisfreie Stadt,16
6413,Offenbach am Main, kreisfreie Stadt,16
6414,Wiesbaden, kreisfreie Stadt,20
6431,Bergstra�e, Landkreis,22
6432,Darmstadt-Dieburg, Landkreis,21
6433,Gro�-Gerau, Landkreis,19
6434,Hochtaunuskreis, Landkreis,23
6435,Main-Kinzig-Kreis, Landkreis,22
6436,Main-Taunus-Kreis, Landkreis,21
6437,Odenwaldkreis, Landkreis,24
6438,Offenbach, Landkreis,21
6439,Rheingau-Taunus-Kreis, Landkreis,23
6440,Wetteraukreis, Landkreis,21
6531,Gie�en, Landkreis,20
6532,Lahn-Dill-Kreis, Landkreis,22
6533,Limburg-Weilburg, Landkreis,22
6534,Marburg-Biedenkopf, Landkreis,20
6535,Vogelsbergkreis, Landkreis,25
6611,Kassel, kreisfreie Stadt,20
6631,Fulda, Landkreis,21
6632,Hersfeld-Rotenburg, Landkreis,24
6633,Kassel, Landkreis,25
6634,Schwalm-Eder-Kreis, Landkreis,24
6635,Waldeck-Frankenberg, Landkreis,23
6636,Werra-Mei�ner-Kreis, Landkreis,26
7111,Koblenz, kreisfreie Stadt,22
7131,Ahrweiler, Landkreis,25
7132,Altenkirchen (Westerwald), Landkreis,23
7133,Bad Kreuznach, Landkreis,24
7134,Birkenfeld, Landkreis,24
7135,Cochem-Zell, Landkreis,25
7137,Mayen-Koblenz, Landkreis,22
7138,Neuwied, Landkreis,22
7140,Rhein-Hunsr�ck-Kreis, Landkreis,23
7141,Rhein-Lahn-Kreis, Landkreis,24
7143,Westerwaldkreis, Landkreis,21
7211,Trier, kreisfreie Stadt,18
7231,Bernkastel-Wittlich, Landkreis,23
7232,Eifelkreis Bitburg-Pr�m, Landkreis,21
7233,Vulkaneifel, Landkreis,25
7235,Trier-Saarburg, Landkreis,21
7311,Frankenthal (Pfalz), kreisfreie Stadt,23
7312,Kaiserslautern, kreisfreie Stadt,20
7313,Landau in der Pfalz, kreisfreie Stadt,19
7314,Ludwigshafen am Rhein, kreisfreie Stadt,19
7315,Mainz, kreisfreie Stadt,18
7316,Neustadt an der Weinstra�e, kreisfreie Stadt,25
7317,Pirmasens, kreisfreie Stadt,26
7318,Speyer, kreisfreie Stadt,23
