bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt
1,1001,3,1,0,2,5,38,19.12.21 12:15,33,3,88
1,1002,7,12,7,3,34,108,19.12.21 12:15,93,26,76
1,1003,3,7,3,2,11,118,19.12.21 12:15,97,8,91
1,1004,1,2,1,1,4,21,19.12.21 12:15,21,4,84
1,1051,1,2,2,1,1,34,19.12.21 12:15,34,1,97
1,1053,2,1,0,2,5,13,19.12.21 12:15,13,5,72
1,1054,3,2,1,3,4,18,19.12.21 12:15,18,4,82
1,1055,3,1,1,3,7,39,19.12.21 12:15,39,7,85
1,1056,2,7,3,2,6,23,19.12.21 12:15,23,6,79
1,1057,1,2,1,1,6,6,19.12.21 12:15,6,6,50
1,1058,5,4,2,3,21,21,19.12.21 12:15,19,17,50
1,1059,1,4,2,1,0,24,19.12.21 12:15,24,0,100
1,1060,3,4,1,3,25,55,19.12.21 12:15,55,25,69
1,1061,3,2,0,1,12,31,19.12.21 12:15,25,5,72
1,1062,3,4,2,3,3,23,19.12.21 12:15,23,3,89
2,2000,34,59,32,24,97,475,19.12.21 12:15,410,53,83
3,3101,7,11,5,5,35,94,19.12.21 12:15,82,30,73
3,3102,2,3,1,2,3,25,19.12.21 12:15,25,3,89
3,3103,3,8,6,1,4,27,19.12.21 12:15,22,0,87
3,3151,1,5,1,1,0,13,19.12.21 12:15,13,0,100
3,3153,3,4,3,3,0,23,19.12.21 12:15,23,0,100
3,3154,1,4,4,1,2,15,19.12.21 12:15,15,2,88
3,3155,2,2,0,2,8,12,19.12.21 12:15,12,8,60
3,3157,1,3,2,1,0,14,19.12.21 12:15,14,0,100
3,3158,1,2,2,1,8,8,19.12.21 12:15,8,8,50
3,3159,8,21,15,7,16,122,19.12.21 12:15,109,12,88
3,3241,19,49,25,16,41,346,19.12.21 12:15,301,30,89
3,3251,3,1,1,3,3,13,19.12.21 12:15,13,3,81
3,3252,6,6,4,4,14,60,19.12.21 12:15,58,10,81
3,3254,7,10,5,4,17,60,19.12.21 12:15,52,14,78
3,3255,1,2,1,1,2,7,19.12.21 12:15,7,2,78
3,3256,1,1,0,1,1,11,19.12.21 12:15,11,1,92
3,3257,1,1,1,1,3,21,19.12.21 12:15,21,3,88
3,3351,2,5,3,1,6,27,19.12.21 12:15,19,4,82
3,3352,2,1,0,2,4,8,19.12.21 12:15,8,4,67
3,3353,3,4,2,3,6,26,19.12.21 12:15,26,6,81
3,3354,1,1,1,1,0,6,19.12.21 12:15,6,0,100
3,3355,3,3,1,1,9,33,19.12.21 12:15,21,5,79
3,3356,3,2,1,2,1,10,19.12.21 12:15,10,1,91
3,3357,3,4,3,2,6,28,19.12.21 12:15,26,4,82
3,3358,2,1,0,2,2,20,19.12.21 12:15,20,2,91
3,3359,3,3,2,2,3,25,19.12.21 12:15,25,0,89
3,3360,2,2,1,2,8,68,19.12.21 12:15,68,8,90
3,3361,2,1,1,2,2,13,19.12.21 12:15,13,2,87
3,3401,1,3,1,1,3,13,19.12.21 12:15,13,3,81
3,3402,1,0,0,1,7,10,19.12.21 12:15,10,7,59
3,3403,6,11,8,3,15,98,19.12.21 12:15,80,11,87
3,3404,5,12,8,4,15,101,19.12.21 12:15,86,14,87
3,3405,3,3,1,1,10,21,19.12.21 12:15,18,2,68
3,3451,3,3,3,2,5,27,19.12.21 12:15,27,5,84
3,3452,4,1,0,3,8,28,19.12.21 12:15,26,2,78
3,3453,3,3,3,3,9,15,19.12.21 12:15,15,9,63
3,3454,10,11,5,6,18,71,19.12.21 12:15,53,12,80
3,3455,2,4,1,2,4,27,19.12.21 12:15,27,4,87
3,3456,1,5,3,1,3,24,19.12.21 12:15,24,3,89
3,3457,6,3,2,4,8,21,19.12.21 12:15,20,4,72
3,3458,1,1,0,1,4,6,19.12.21 12:15,6,4,60
3,3459,7,10,3,6,19,66,19.12.21 12:15,66,19,78
3,3460,5,1,1,3,13,23,19.12.21 12:15,20,8,64
3,3461,2,3,3,2,0,12,19.12.21 12:15,12,0,100
3,3462,1,3,3,1,0,8,19.12.21 12:15,8,0,100
4,4011,9,24,16,8,8,122,19.12.21 12:15,112,2,94
